"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Harvest date]"	"Term Source REF"	"Term Accession Number"
"BB_BBI_08M07_melon07_13091"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU1.1.1309.1"	"July"	""	""
"BB_BBI_08M07_melon07_13092"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU1.1.1309.2"	"July"	""	""
"BB_BBI_08M07_melon07_13101"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU1.2.1310.1"	"July"	""	""
"BB_BBI_08M07_melon07_13102"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU1.2.1310.2"	"July"	""	""
"BB_BBI_08M07_melon07_13111"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU1.3.1311.1"	"July"	""	""
"BB_BBI_08M07_melon07_13112"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU1.3.1311.2"	"July"	""	""
"BB_BBI_08M07_melon07_13121"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU1.4.1312.1"	"July"	""	""
"BB_BBI_08M07_melon07_13122"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU1.4.1312.2"	"July"	""	""
"BB_BBI_08M07_melon07_13131"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU1.5.1313.1"	"July"	""	""
"BB_BBI_08M07_melon07_13132"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU1.5.1313.2"	"July"	""	""
"BB_BBI_08M07_melon07_13141"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU1.6.1314.1"	"July"	""	""
"BB_BBI_08M07_melon07_13142"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU1.6.1314.2"	"July"	""	""
"BB_BBI_08M07_melon07_13151"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU2.1.1315.1"	"August"	""	""
"BB_BBI_08M07_melon07_13152"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU2.1.1315.2"	"August"	""	""
"BB_BBI_08M07_melon07_13161"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU2.2.1316.1"	"August"	""	""
"BB_BBI_08M07_melon07_13162"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU2.2.1316.2"	"August"	""	""
"BB_BBI_08M07_melon07_13171"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU2.3.1317.1"	"August"	""	""
"BB_BBI_08M07_melon07_13172"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU2.3.1317.2"	"August"	""	""
"BB_BBI_08M07_melon07_13181"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU2.4.1318.1"	"August"	""	""
"BB_BBI_08M07_melon07_13182"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU2.4.1318.2"	"August"	""	""
"BB_BBI_08M07_melon07_13191"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU2.5.1319.1"	"August"	""	""
"BB_BBI_08M07_melon07_13192"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU2.5.1319.2"	"August"	""	""
"BB_BBI_08M07_melon07_13201"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU2.6.1320.1"	"August"	""	""
"BB_BBI_08M07_melon07_13202"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU2.6.1320.2"	"August"	""	""
"BB_BBI_08M07_melon07_13331"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU3.1.1333.1"	"September"	""	""
"BB_BBI_08M07_melon07_13332"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU3.1.1333.2"	"September"	""	""
"BB_BBI_08M07_melon07_13341"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU3.2.1334.1"	"September"	""	""
"BB_BBI_08M07_melon07_13342"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU3.2.1334.2"	"September"	""	""
"BB_BBI_08M07_melon07_13351"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU3.3.1335.1"	"September"	""	""
"BB_BBI_08M07_melon07_13352"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU3.3.1335.2"	"September"	""	""
"BB_BBI_08M07_melon07_13361"	" Cucumis melo"	"obo"	""	" Cucumis melo"	"PO"	""	"Sample collection"	"07.HU3.4.1336.1"	"September"	""	""
