title: 1	
tmsp                  	          
methyl                	100
alanine               	          
C3 H3A/H3B/H3C        	15.232
C2 H2                 	14.227
creatinine            	          
C5 H6A/H6B/H6C        	307.407
C2 H2A/H2B            	384.214
histidine             	          
C3 H3A                	34.337
C5 H5                 	29.28
C2 H2                 	50.655
C7 H7                 	0
C3 H3B                	40.507
betaine               	          
C4/C5/C6 met          	43.114
C2 H2A/H2B            	43.146
aceticacid            	          
C2 H2A/H2B/H2C        	52.713
phosphocreatine       	          
C7H7A/B/C             	17.672
C2H2A/B               	25.328
3-hydroxybutyricacid  	          
a                     	0
b                     	0
c                     	0
H4A/B/C               	5.649
lacticacid            	          
C3H3A/B/C             	165.313
C2H2                  	140.952
title: 2	
tmsp                  	          
methyl                	100
alanine               	          
C3 H3A/H3B/H3C        	179.436
C2 H2                 	155.054
creatinine            	          
C5 H6A/H6B/H6C        	302.409
C2 H2A/H2B            	380.679
histidine             	          
C3 H3A                	29.964
C5 H5                 	20.191
C2 H2                 	52.438
C7 H7                 	0
C3 H3B                	43.284
betaine               	          
C4/C5/C6 met          	22.4
C2 H2A/H2B            	21.732
aceticacid            	          
C2 H2A/H2B/H2C        	25.83
phosphocreatine       	          
C7H7A/B/C             	10.53
C2H2A/B               	11.878
3-hydroxybutyricacid  	          
a                     	0
b                     	0
c                     	0
H4A/B/C               	3.361
lacticacid            	          
C3H3A/B/C             	83.712
C2H2                  	67.49
title: 3	
tmsp                  	          
methyl                	100
alanine               	          
C3 H3A/H3B/H3C        	100.192
C2 H2                 	85.063
creatinine            	          
C5 H6A/H6B/H6C        	452.366
C2 H2A/H2B            	563.015
histidine             	          
C3 H3A                	25.41
C5 H5                 	17.623
C2 H2                 	53.331
C7 H7                 	0
C3 H3B                	34.078
betaine               	          
C4/C5/C6 met          	11.46
C2 H2A/H2B            	12.932
aceticacid            	          
C2 H2A/H2B/H2C        	12.654
phosphocreatine       	          
C7H7A/B/C             	6.499
C2H2A/B               	0
3-hydroxybutyricacid  	          
a                     	0
b                     	0
c                     	0
H4A/B/C               	0
lacticacid            	          
C3H3A/B/C             	46.498
C2H2                  	32.809
title: 4	
tmsp                  	          
methyl                	100
alanine               	          
C3 H3A/H3B/H3C        	56.647
C2 H2                 	46.167
creatinine            	          
C5 H6A/H6B/H6C        	372.586
C2 H2A/H2B            	464.738
histidine             	          
C3 H3A                	27.354
C5 H5                 	17.484
C2 H2                 	45.981
C7 H7                 	0
C3 H3B                	29.805
betaine               	          
C4/C5/C6 met          	6.08
C2 H2A/H2B            	7.656
aceticacid            	          
C2 H2A/H2B/H2C        	7.232
phosphocreatine       	          
C7H7A/B/C             	4.514
C2H2A/B               	0
3-hydroxybutyricacid  	          
a                     	160.607
b                     	157.453
c                     	152.55
H4A/B/C               	159.014
lacticacid            	          
