"Sample Name"	"Protocol REF"	"Parameter Value[Extraction Method]"	"Extract Name"	"Protocol REF"	"Parameter Value[NMR tube type]"	"Parameter Value[Solvent]"	"Parameter Value[Sample pH]"	"Parameter Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Instrument]"	"Parameter Value[NMR Probe]"	"Parameter Value[Number of transients]"	"Parameter Value[Pulse sequence name]"	"Parameter Value[Magnetic field strength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Acquisition Parameter Data File"	"Protocol REF"	"NMR Assay Name"	"Free Induction Decay Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"07.HU1.1.1309.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13091"	""	"Data transformation"	""	""	""	""	""
"07.HU1.1.1309.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13092"	""	"Data transformation"	""	""	""	""	""
"07.HU1.2.1310.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13101"	""	"Data transformation"	""	""	""	""	""
"07.HU1.2.1310.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13102"	""	"Data transformation"	""	""	""	""	""
"07.HU1.3.1311.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13111"	""	"Data transformation"	""	""	""	""	""
"07.HU1.3.1311.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13112"	""	"Data transformation"	""	""	""	""	""
"07.HU1.4.1312.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13121"	""	"Data transformation"	""	""	""	""	""
"07.HU1.4.1312.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13122"	""	"Data transformation"	""	""	""	""	""
"07.HU1.5.1313.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13131"	""	"Data transformation"	""	""	""	""	""
"07.HU1.5.1313.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13132"	""	"Data transformation"	""	""	""	""	""
"07.HU1.6.1314.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13141"	""	"Data transformation"	""	""	""	""	""
"07.HU1.6.1314.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13142"	""	"Data transformation"	""	""	""	""	""
"07.HU2.1.1315.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13151"	""	"Data transformation"	""	""	""	""	""
"07.HU2.1.1315.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13152"	""	"Data transformation"	""	""	""	""	""
"07.HU2.2.1316.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13161"	""	"Data transformation"	""	""	""	""	""
"07.HU2.2.1316.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13162"	""	"Data transformation"	""	""	""	""	""
"07.HU2.3.1317.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13171"	""	"Data transformation"	""	""	""	""	""
"07.HU2.3.1317.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13172"	""	"Data transformation"	""	""	""	""	""
"07.HU2.4.1318.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13181"	""	"Data transformation"	""	""	""	""	""
"07.HU2.4.1318.2"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13182"	""	"Data transformation"	""	""	""	""	""
"07.HU2.5.1319.1"	"Extraction"	""	""	"NMR sample"	""	""	""	""	""	""	""	""	""	""	""	"NMR spectroscopy"	""	""	""	""	""	""	""	""	""	"NMR assay"	"BB_BBI_08M07_melon07_13191"	""	"Data transformation"	""	""	""	""	""
