	tmsp	alanine	creatinine	histidine	betaine	aceticacid	phosphocreatine	3-hydroxybutyricacid	lacticacid	
1	6.0111	0.5722	13.8115	1.4834	1.6497	3.3275	1.0203	0.22028	6.2671	
2	6.0111	6.4789	13.6372	1.3801	0.84366	1.6305	0.53385	0	3.091	
3	6.0111	3.586	20.2803	1.022	0.46732	0.79878	0.32074	0	1.6175	
4	6.0111	1.9873	16.7225	0.98872	0	0.45652	0.22278	6.1328	1.049	
5	6.0111	1.0985	15.6337	8.147	0	0.18824	0.14539	3.1205	0.5042	
6	6.0111	0.82799	14.4852	4.6447	0	0.088564	6.1293	1.5033	0.34141	
7	6.0111	0.63799	13.8622	2.7236	6.1274	0	3.0671	0.76345	0.35031	
8	6.0111	0.63149	13.7194	1.9116	3.0255	6.6075	1.5219	0.33761	0.2584	
z1 Mean	6.0111	1.9775	15.269	2.7876	2.4227	1.8711	1.6202	2.013	1.6849	
z2 Standard deviation	9.495e-016	2.0882	2.3034	2.4779	2.2914	2.3725	2.063	2.2821	2.0839	
z3 Minimum	6.0111	0.5722	13.6372	0.98872	0.46732	0.088564	0.14539	0.22028	0.2584	
z4 Maximum	6.0111	6.4789	20.2803	8.147	6.1274	6.6075	6.1293	6.1328	6.2671	
z5 Number of values	8	8	8	8	5	7	8	6	8	
